SRI_Parish_Code,Parish_Description,INEC_Parish_Code
1080259,SANTO DOMINGO DE ONZOLE,080259
1080260,SELVA ALEGRE,080260
1080261,TELEMBI,080261
1080262,COLON ELOY DEL MARIA,080262
1080263,SAN JOSE DE CAYAPAS,080263
1080264,TIMBIRE,080264
1080550,SAN LORENZO,080550
1080551,ALTO TAMBO (CAB. EN GUADUAL),080551
1080552,ANCON (PICHANGAL) (CAB. EN PALMA REAL),080552
1080553,CALDERON,080553
1080554,CARONDELET,080554
1080555,5 DE JUNIO (CAB. EN UIMBI),080555
1080556,CONCEPCION,080556
1080557,MATAJE (CAB. EN SANTANDER),080557
1080559,SANTA RITA,080559
1080560,TAMBILLO,080560
1080561,TULULBI (CAB. EN RICAURTE),080561
1080562,URBINA,080562
1080650,ATACAMES,080650
1080651,LA UNION,080651
1080652,SUA (CAB. EN LA BOCANA),080652
1080653,TONCHIGUE,080653
1080654,TONSUPA,080654
9999999,VERIFICAR,999999
4200250,PUERTO VILLAMIL,200250
4200251,TOMAS DE BERLANGA (SANTO TOMAS),200251
4200350,PUERTO AYORA,200350
4200351,BELLAVISTA,200351
4200352,SANTA ROSA (INCLUYE LA ISLA BALTRA),200352
4200150,PUERTO BAQUERIZO MORENO,200150
4200151,EL PROGRESO,200151
4200152,ISLA SANTA MARIA (FLOREANA) (CAB. EN PUERTO VELASCO IBARRA),200152
3190250,ZUMBA,190250
3190251,CHITO,190251
3190252,EL CHORRO,190252
3190254,LA CHONTA,190254
3190256,PUCAPAMBA,190256
3190750,ZUMBI,190750
3190650,EL PANGUI,190650
3190651,EL GUISMI,190651
3190652,PACHICUTZA,190652
3190653,TUNDAYME,190653
3190450,28 DE MAYO (SAN JOSE DE YACUAMBI),190450
3190451,LA PAZ,190451
3190452,TUTUPALI,190452
3190850,PALANDA,190850
3190851,EL PORVENIR DEL CARMEN,190851
3190852,SAN FRANCISCO DE VERGEL,190852
3190853,VALLADOLID,190853
3190550,YANZATZA,190550
3190551,CHICAÑA,190551
3190553,LOS ENCUENTROS,190553
3190350,GUAYZIMI,190350
3190351,ZURMI,190351
3190950,PAQUISHA,190950
3190101,EL LIMON,190101
3190102,ZAMORA,190102
3190150,ZAMORA,190150
3190151,CUMBARATZA,190151
3190152,GUADALUPE,190152
3190153,IMBANA (LA VICTORIA DE IMBANA),190153
3190155,SABANILLA,190155
3190156,TIMBARA,190156
3190158,SAN CARLOS DE LAS MINAS,190158
3140650,SUCUA,140650
3140651,ASUNCION,140651
3140652,HUAMBI,140652
3140655,SANTA MARIANITA DE JESUS,140655
3141250,SANTIAGO,141250
3141251,SAN JOSE DE MORONA,141251
3140350,GENERAL LEONIDAS PLAZA GUTIERREZ (LIMON),140350
3140351,INDANZA,140351
3140353,SAN ANTONIO (CAB. EN SAN ANTONIO CENTRO),140353
3140356,SAN MIGUEL DE CONCHAY,140356
3140357,SANTA SUSANA DE CHIVIAZA (CAB. EN CHIVIAZA),140357
3140358,YUNGANZA (CAB. EN EL ROSARIO),140358
3140150,MACAS,140150
3140153,GENERAL PROAÑO,140153
3140156,SAN ISIDRO,140156
3140157,SEVILLA DON BOSCO,140157
3140158,SINAI,140158
3140160,ZUÑA (ZUÑAC),140160
3140162,CUCHAENTZA,140162
3140164,RIO BLANCO,140164
3141050,LOGROÑO,141050
3141051,YAUPI,141051
3141052,SHIMPIS,141052
3140850,SAN JUAN BOSCO,140850
3140851,PAN DE AZUCAR,140851
3140852,SAN CARLOS DE LIMON,140852
3140853,SAN JACINTO DE WAKAMBEIS,140853
3140854,SANTIAGO DE PANANZA,140854
3140201,GUALAQUIZA,140201
3140202,MERCEDES MOLINA,140202
3140250,GUALAQUIZA,140250
3140251,AMAZONAS (ROSARIO DE CUYES),140251
3140252,BERMEJOS,140252
3140253,BOMBOIZA,140253
3140254,CHIGÜINDA,140254
3140255,EL ROSARIO,140255
3140256,NUEVA TARQUI,140256
3140257,SAN MIGUEL DE CUYES,140257
3140258,EL IDEAL,140258
3140550,SANTIAGO DE MENDEZ,140550
3140551,COPAL,140551
3140552,CHUPIANZA,140552
3140553,PATUCA,140553
3140554,SAN LUIS DE EL ACHO  (CAB. EN EL ACHO),140554
3140556,TAYUZA,140556
3140557,SAN FRANCISCO DE CHINIMBIMI,140557
3140450,PALORA (METZERA),140450
3140451,ARAPICOS,140451
3140452,CUMANDA (CAB. EN COLONIA AGRICOLA SEVILLA DEL ORO),140452
3140454,SANGAY (CAB. EN NAYAMANACA),140454
3140455,16 DE AGOSTO,140455
3141150,PABLO SEXTO,141150
3140750,HUAMBOYA,140750
3140751,CHIGUAZA,140751
3140950,TAISHA,140950
3140952,MACUMA,140952
3140953,TUUTINENTZA,140953
3150450,EL CHACO,150450
3150451,GONZALO DIAZ DE PINEDA (EL BOMBON),150451
3150452,LINARES,150452
3150453,OYACACHI,150453
3150454,SANTA ROSA,150454
3150455,SARDINAS,150455
3150750,BAEZA,150750
3150751,COSANGA,150751
3150752,CUYUJA,150752
3150753,PAPALLACTA,150753
3150754,SAN FRANCISCO DE BORJA (VIRGILIO DAVILA),150754
3150755,SAN JOSE DE PAYAMINO,150755
3150756,SUMACO,150756
3150950,CARLOS JULIO AROSEMENA TOLA,150950
3150350,ARCHIDONA,150350
3150352,COTUNDO,150352
3150354,SAN PABLO DE USHPAYACU,150354
3150150,TENA,150150
3150151,AHUANO,150151
3150153,CHONTAPUNTA,150153
3150154,PANO,150154
3150155,PUERTO MISAHUALLI,150155
3150156,PUERTO NAPO,150156
3150157,TALAG,150157
3160350,SANTA CLARA,160350
3160351,SAN JOSE,160351
3160450,ARAJUNO,160450
3160451,CURARAY,160451
3160150,PUYO,160150
3160152,CANELOS,160152
3160154,DIEZ DE AGOSTO,160154
3160155,FATIMA,160155
3160156,MONTALVO (ANDOAS),160156
3160157,POMONA,160157
3160158,RIO CORRIENTES,160158
3160159,RIO TIGRE,160159
3160161,SARAYACU,160161
3160162,SIMON BOLIVAR,160162
3160163,TARQUI,160163
3160164,TENIENTE HUGO ORTIZ,160164
3160165,VERACRUZ (CAB. EN INDILLAMA),160165
3160166,EL TRIUNFO,160166
3160250,MERA,160250
3160251,MADRE TIERRA,160251
3160252,SHELL,160252
3220350,LA JOYA DE LOS SACHAS,220350
3220351,ENOKANQUI,220351
3220352,POMPEYA,220352
3220353,SAN CARLOS,220353
3220354,SAN SEBASTIÁN DEL COCA,220354
3220356,RUMIPAMBA,220356
3220357,TRES DE NOVIEMBRE,220357
3220358,UNION MILAGREÑA,220358
3220250,NUEVO ROCAFUERTE,220250
3220251,CAPITAN AUGUSTO RIVADENEYRA,220251
3220252,CONONACO,220252
3220253,SANTA MARIA DE HUIRIRIMA,220253
3220254,TIPUTINI,220254
3220255,YASUNI,220255
3220450,LORETO,220450
3220451,ÁVILA (CAB. EN HUIRUNO),220451
3220452,PUERTO MURIALDO,220452
3220453,SAN JOSE DE PAYAMINO,220453
3220454,SAN JOSE DE DAHUANO,220454
3220455,SAN VICENTE DE HUATICOCHA,220455
3220150,PUERTO FRANCISCO DE ORELLANA (EL COCA),220150
3220151,DAYUMA,220151
3220152,TARACOA (NUEVA ESPERANZA: YUCA),220152
3220153,ALEJANDRO LABAKA,220153
3220154,EL DORADO,220154
3220155,EL EDÉN,220155
3220156,GARCÍA MORENO,220156
3220158,LA BELLEZA,220158
3220159,NUEVO PARAÍSO (CAB. EN UNIÓN CHIMBORAZO),220159
3220160,SAN JOSÉ DE GUAYUSA,220160
3220161,SAN LUIS DE ARMENIA,220161
3210450,SHUSHUFINDI,210450
3210451,LIMONCOCHA,210451
3210452,PAÑACOCHA,210452
3210453,SAN ROQUE (CAB. EN SAN VICENTE),210453
3210454,SAN PEDRO DE LOS COFANES,210454
3210455,SIETE DE JULIO,210455
3210650,EL DORADO DE CASCALES,210650
3210651,SANTA ROSA DE SUCUMBIOS,210651
3210652,SEVILLA,210652
3210350,PUERTO EL CARMEN DEL PUTUMAYO,210350
3210351,PALMA ROJA,210351
3210352,PUERTO BOLIVAR (PUERTO MONTUFAR),210352
3210353,PUERTO RODRIGUEZ,210353
3210354,SANTA ELENA,210354
3210250,LUMBAQUI,210250
3210251,EL REVENTADOR,210251
3210252,GONZALO PIZARRO,210252
3210254,PUERTO LIBRE,210254
3210550,LA BONITA,210550
3210551,EL PLAYON DE SAN FRANCISCO,210551
3210552,LA SOFIA,210552
3210553,ROSA FLORIDA,210553
3210554,SANTA BARBARA,210554
3210750,TARAPOA,210750
3210751,CUYABENO,210751
3210752,AGUAS NEGRAS,210752
3210150,NUEVA LOJA,210150
3210152,DURENO,210152
3210153,GENERAL FARFAN,210153
3210155,EL ENO,210155
3210156,PACAYACU,210156
3210157,JAMBELI,210157
3210158,SANTA CECILIA,210158
2100101,CARANQUI,100101
2100102,GUAYAQUIL DE ALPACHACA,100102
2100103,SAGRARIO,100103
2100104,SAN FRANCISCO,100104
2100105,LA DOLOROSA DEL PRIORATO,100105
2100150,IBARRA,100150
2100151,AMBUQUI,100151
2100152,ANGOCHAGUA,100152
2100153,CAROLINA,100153
2100154,LA ESPERANZA,100154
2100155,LITA,100155
2100156,SALINAS,100156
2100157,SAN ANTONIO,100157
2100301,SAGRARIO,100301
2100302,SAN FRANCISCO,100302
2100350,COTACACHI,100350
2100351,APUELA,100351
2100352,GARCIA MORENO (LLURIMAGUA),100352
2100353,IMANTAG,100353
2100354,PEÑAHERRERA,100354
2100355,PLAZA GUTIERREZ (CALVARIO),100355
2100356,QUIROGA,100356
2100357,SEIS DE JULIO DE CUELLAJE (CAB. EN CUELLAJE),100357
2100358,VACAS GALINDO (EL CHURO) (CAB.EN SAN MIGUEL ALTO),100358
2100650,URCUQUI,100650
2100651,CAHUASQUI,100651
2100652,LA MERCED DE BUENOS AIRES,100652
2100653,PABLO ARENAS,100653
2100654,SAN BLAS,100654
2100655,TUMBABIRO,100655
2100401,JORDAN,100401
2100402,SAN LUIS,100402
2100404,SAN JOSE DE QUICHINCHE,100404
2100450,OTAVALO,100450
2100451,DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE),100451
2100452,EUGENIO ESPEJO (CALPAQUI),100452
2100453,GONZALEZ SUAREZ,100453
2100454,PATAQUI,100454
2100456,SAN JUAN DE ILUMAN,100456
2100457,SAN PABLO,100457
2100458,SAN RAFAEL,100458
2100459,SELVA ALEGRE (CAB. EN SAN JOSE DE PAMPLONA),100459
2100201,ANDRADE MARIN (LOURDES),100201
2100202,ATUNTAQUI,100202
2100250,ATUNTAQUI,100250
2100251,IMBAYA (SAN LUIS DE COBUENDO),100251
2100252,SAN FRANCISCO DE NATABUEL,100252
2100253,SAN JOSE DE CHALTURA,100253
2100254,SAN ROQUE,100254
2100550,PIMAMPIRO,100550
2100551,CHUGA,100551
2100552,MARIANO ACOSTA,100552
2100553,SAN FRANCISCO DE SIGSIPAMBA,100553
2060550,CHUNCHI,060550
2060551,CAPZOL,060551
2060552,COMPUD,060552
2060553,GONZOL,060553
2060554,LLAGOS,060554
2060701,EL ROSARIO,060701
2060702,LA MATRIZ,060702
2060750,GUANO,060750
2060751,GUANANDO,060751
2060752,ILAPO,060752
2060753,LA PROVIDENCIA,060753
2060754,SAN ANDRES,060754
2060755,SAN GERARDO DE PACAICAGUAN,060755
2060756,SAN ISIDRO DE PATULU,060756
2060757,SAN JOSE DEL CHAZO,060757
2060758,SANTA FE DE GALAN,060758
2060759,VALPARAISO,060759
2060301,CAJABAMBA,060301
2060302,SICALPA,060302
2060350,VILLA LA UNION (CAJABAMBA),060350
2060351,CAÑI,060351
2060352,COLUMBE,060352
2060353,JUAN DE VELASCO (PANGOR),060353
2061050,CUMANDA,061050
2060850,PALLATANGA,060850
2060650,GUAMOTE,060650
2060651,CEBADAS,060651
2060652,PALMIRA,060652
2060450,CHAMBO,060450
2060250,ALAUSI,060250
2060251,ACHUPALLAS,060251
2060253,GUASUNTOS,060253
2060254,HUIGRA,060254
2060255,MULTITUD,060255
2060256,PISTISHI (NARIZ DEL DIABLO),060256
2060257,PUMALLACTA,060257
2060258,SEVILLA,060258
2060259,SIBAMBE,060259
2060260,TIXAN,060260
2060950,PENIPE,060950
2060951,EL ALTAR,060951
2060952,MATUS,060952
2060953,PUELA,060953
2060954,SAN ANTONIO DE BAYUSHIG,060954
2060955,LA CANDELARIA,060955
2060101,LIZARZABURU,060101
2060102,MALDONADO,060102
2060103,VELASCO,060103
2060104,VELOZ,060104
2060105,YARUQUIES,060105
2060106,LICAN,060106
2060150,RIOBAMBA,060150
2060151,CACHA (CAB. EN MACHANGARA),060151
2060152,CALPI,060152
2060153,CUBIJIES,060153
2060154,FLORES,060154
2060156,LICTO,060156
2060157,PUNGALA,060157
2060158,PUNIN,060158
2060159,QUIMIAG,060159
2060160,SAN JUAN,060160
2060161,SAN LUIS,060161
2050202,LA MANÁ,050202
2050250,LA MANA,050250
2050251,GUASAGANDA (CAB. EN GUASAGANDA CENTRO),050251
2050252,PUCAYACU,050252
2050350,EL CORAZON,050350
2050351,MORASPUNGO,050351
2050352,PINLLOPATA,050352
2050353,RAMON CAMPAÑA,050353
2050650,SAQUISILI,050650
2050651,CANCHAGUA,050651
2050652,CHANTILIN,050652
2050653,COCHAPAMBA,050653
2050550,SAN MIGUEL,050550
2050551,ANTONIO JOSE HOLGUIN (SANTA LUCIA),050551
2050552,CUSUBAMBA,050552
2050553,MULALILLO,050553
2050554,MULLIQUINDIL (SANTA ANA),050554
2050555,PANSALEO,050555
2050101,ELOY ALFARO (SAN FELIPE),050101
2050102,IGNACIO FLORES (PARQUE FLORES),050102
2050103,JUAN MONTALVO (SAN SEBASTIAN),050103
2050104,LA MATRIZ,050104
